
2015/07/21 15:59:58 : PARSING GOOGLE SCHOLAR;

2015/07/21 15:59:58 : Successfully connected driver;

2015/07/21 15:59:58 : Successfully connected to jdbc:postgresql://127.0.0.1:5432/patentDB user name is postgres, password is RichardCypher;

2015/07/21 15:59:58 : Get documents ./docs2/input0.html;

2015/07/21 15:59:58 : Found record - 2015/07/21 15:59:58;[ЦИТИРОВАНИЕ][C] Сварка взрывом в металлургии;ВМ Кудинов, АЯ Коротеев ;1978; М.: Металлургия, ;none;русский;Google Scholar;none;none;
2015/07/21 16:00:02 : Found record - 2015/07/21 16:00:01;[PDF][PDF] Исследование влияния режимов сварки взрывом и термической обработки на структуру и свойства биметалла АД1+ сталь Ст3;ЛМ Гуревич, ДB Проничев, AФ Трудов… ;none; … ВолгГТУ: межвуз. сб. …  cyberleninka.ru;http://cyberleninka.ru/article/n/issledovanie-vliyaniya-rezhimov-svarki-vzryvom-i-termicheskoy-obrabotki-na-strukturu-i-svoystva-bimetalla-ad1stal-st3.pdf;русский;Google Scholar;19.pdf;19.txt;

2015/07/21 16:00:02 : Get documents ./docs2/input20.html;

2015/07/21 16:00:02 : Found record - 2015/07/21 16:00:02;[HTML][HTML] ЗАКОНОМЕРНОСТИ ФОРМИРОВАНИЯ СТРУКТУРНО-МЕХАНИЧЕСКОЙ НЕОДНОРОДНОСТИ ПРИ СВАРКЕ ВЗРЫВОМ АЛЮМИНИЯ С НИКЕЛЕМ*;ЮП Трыков, АИ БОГДАНОВ… ;2009; ИЗВЕСТИЯ …,   cyberleninka.ru;http://cyberleninka.ru/article/n/zakonomernosti-formirovaniya-strukturno-mehanicheskoy-neodnorodnosti-pri-svarke-vzryvom-alyuminiya-s-nikelem;русский;Google Scholar;none;none;

2015/07/21 16:00:02 : Found record - 2015/07/21 16:00:02;[HTML][HTML] МОДЕЛИРОВАНИЕ ДЕФОРМАЦИОННОГО ПРОЦЕССА В ЗАДАЧАХ АРМИРОВАНИЯ И СВАРКИ ВЗРЫВОМ С ПРИМЕНЕНИЕМ ПРОГРАММЫ LS- …;АЕ Розен, ИС Лось, АЮ Муйземнек… ;2010; Известия высших …,   cyberleninka.ru;http://cyberleninka.ru/article/n/modelirovanie-deformatsionnogo-protsessa-v-zadachah-armirovaniya-i-svarki-vzryvom-s-primeneniem-programmy-ls-dyna;русский;Google Scholar;none;none;

2015/07/21 16:00:02 : Found record - 2015/07/21 16:00:02;[HTML][HTML] … И ФАЗОВОГО СОСТАВА ОПЛАВОВ В СЛОИСТОМ ТИТАНО-АЛЮМИНИЕВОМ КОМПОЗИТЕ В ЗАВИСИМОСТИ ОТ ПАРАМЕТРОВ СВАРКИ ВЗРЫВОМ*;ЛМ Гуревич, ЮП ТРЫКОВ, ОС КИСЕЛЕВ… ;2011; ИЗВЕСТИЯ …,   cyberleninka.ru;http://cyberleninka.ru/article/n/izmenenie-struktury-i-fazovogo-sostava-oplavov-v-sloistom-titano-alyuminievom-kompozite-v-zavisimosti-ot-parametrov-svarki-vzryvom;русский;Google Scholar;none;none;

2015/07/21 16:00:02 : Found record - 2015/07/21 16:00:02;[HTML][HTML] Деформационно-энергетические аспекты процесса сварки взрывом;В ЛЫСАК, СВ Кузьмин, АП Пеев… ;2008; ИЗВЕСТИЯ …,   cyberleninka.ru;http://cyberleninka.ru/article/n/deformatsionno-energeticheskie-aspekty-protsessa-svarki-vzryvom;русский;Google Scholar;none;none;

2015/07/21 16:00:02 : Found record - 2015/07/21 16:00:02;[ЦИТИРОВАНИЕ][C] Конструкционная сварка взрывом;СА Шестаков ;2007;   ВолгГАСУ Волгоград;none;русский;Google Scholar;none;none;

2015/07/21 16:00:02 : Found record - 2015/07/21 16:00:02;[ЦИТИРОВАНИЕ][C] Расчет условий оплавления и количества оплавленного металла при сварке взрывом;ВС Седых ;1974; Сварка взрывом и свойства сварных соединений: …, ;none;русский;Google Scholar;none;none;

2015/07/21 16:00:02 : Found record - 2015/07/21 16:00:02;[ЦИТИРОВАНИЕ][C] Определение «нижней границы свариваемости» металлов при сварке взрывом;ВС Седых ;1995; Сварка взрывом и свойства сварных соединений: …, ;none;русский;Google Scholar;none;none;

2015/07/21 16:00:02 : Found record - 2015/07/21 16:00:02;[ЦИТИРОВАНИЕ][C] Энергетические условия, обеспечивающие схватывание металлов при сварке взрывом;БН Липоватый, САП Седых BC ;1987; Сварка взрывом и свойства сварных соединений …, ;none;русский;Google Scholar;none;none;

2015/07/21 16:00:02 : Found record - 2015/07/21 16:00:02;Исследование влияния воздействия ультразвука на структуру и свойства свариваемых взрывом композиционных соединений;АП Пеев, СВ КУЗЬМИН, СИ АГАПОВ… ;2012; ИЗВЕСТИЯ …,   cyberleninka.ru;http://cyberleninka.ru/article/n/issledovanie-vliyaniya-vozdeystviya-ultrazvuka-na-strukturu-i-svoystva-svarivaemyh-vzryvom-kompozitsionnyh-soedineniy;русский;Google Scholar;none;none;

2015/07/21 16:00:02 : Found record - 2015/07/21 16:00:02;[ЦИТИРОВАНИЕ][C] Исследование вязкости металлов при высокоскоростных соударениях;СК Годунов, АА Дерибас… ;1971; … горения и взрыва,   Наука, Сибирское отдние;none;русский;Google Scholar;none;none;

2015/07/21 16:00:02 : Found record - 2015/07/21 16:00:02;[HTML][HTML] Микронеоднородность сваренных взрывом соединений;СВ КУЗЬМИН ;2004; Известия Волгоградского государственного …,   cyberleninka.ru;http://cyberleninka.ru/article/n/mikroneodnorodnost-svarennyh-vzryvom-soedineniy;русский;Google Scholar;none;none;

2015/07/21 16:00:02 : Found record - 2015/07/21 16:00:02;[КНИГА][B] Проблемы гидродинамики и их математические модели;МА Лаврентьев ;1973;   books.google.com;http://www.google.com/books?hl=ru&lr=&id=O0n6AgAAQBAJ&oi=fnd&pg=PA6&dq=%D1%81%D0%B2%D0%B0%D1%80%D0%BA%D0%B0+%D0%B2%D0%B7%D1%80%D1%8B%D0%B2%D0%BE%D0%BC&ots=qLYdh8cyfR&sig=aM0YIeUvSCrqiN6-pCF7bM9WU1c;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:02;[PDF][PDF] О развитии сдвиговой неустойчивости в металлах;ОБ Дреннов ;1999; Журнал технической физики,   ebiblioteka.lt;http://www.e-biblioteka.lt/resursai/Uzsienio%20leidiniai/ioffe/ztf/1999/02/ztf_t69v02_08.pdf;русский;Google Scholar;32.pdf;32.txt;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;Взрыв;ГИ Покровский ;1980;   ir.nmu.org.ua;http://ir.nmu.org.ua/handle/123456789/31454;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] Расчет энергетического баланса процесса сварки взрывом;ВС Седых, АП Соннов ;1970; Физика и химия обработки материалов, ;none;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] Волнообразование при сварке взрывом;СК Годунов, АА Дерибас, НС Козин ;1971; Журнал прикладной механики и …, ;none;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] Биметаллические соединения;КЕ Чарухина ;1970;   " Металлургия";none;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] Исследование характера течения металла при высокоскоростном плакировании взрывом на слоистых моделях;ВС Седых ;1988; Сварка взрывом и свойства сварных соединений: …, ;none;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] К определению верхней границы области сварки взрывом;ВВ Ефремов, ИД Захаренко ;1972; Физика горения и взрыва, ;none;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] О метании плоских пластин слоями конденсированных ВВ;ГЕ Кузьмин, ВИ Мали, ВВ Пай ;1973; … горения и взрыва,   Наука, Сибирское отдние;none;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Get documents ./docs2/input40.html;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[HTML][HTML] Влияние состава атмосферы на образование соединения титана со сталью при сварке взрывом;АА БЕРДЫЧЕНКО, ЛБ ПЕРВУХИН… ;2006; Известия …,   cyberleninka.ru;http://cyberleninka.ru/article/n/vliyanie-sostava-atmosfery-na-obrazovanie-soedineniya-titana-so-stalyu-pri-svarke-vzryvom;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[HTML][HTML] ОСОБЕННОСТИ ПЛАСТИЧЕСКОЙ ДЕФОРМАЦИИМЕТАЛЛА ОКОЛОШОВНОЙ ЗОНЫ ПРИ СВАРКЕ ВЗРЫВОМ РАЗНОРОДНЫХМЕТАЛЛОВ;СВ Кузьмин, ВВ РЫБИН, АП ПЕЕВ ;2010; ИЗВЕСТИЯ …,   cyberleninka.ru;http://cyberleninka.ru/article/n/osobennosti-plasticheskoy-deformatsiimetalla-okoloshovnoy-zony-pri-svarke-vzryvom-raznorodnyhmetallov;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[HTML][HTML] Геометрические преобразования тонколистовых заготовок в процессе сварки взрывом многослойных пакетов;ВИ МАЛИ, ИА БАТАЕВ, АА БАТАЕВ… ;2011; Физическая …,   cyberleninka.ru;http://cyberleninka.ru/article/n/geometricheskie-preobrazovaniya-tonkolistovyh-zagotovok-v-protsesse-svarki-vzryvom-mnogosloynyh-paketov;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[HTML][HTML] Об основных принципах проектирования режимов сварки взрывом металлических слоистых композитов;СВ Кузьмин, СВ ХАУСТОВ… ;2006; Известия …,   cyberleninka.ru;http://cyberleninka.ru/article/n/ob-osnovnyh-printsipah-proektirovaniya-rezhimov-svarki-vzryvom-metallicheskih-sloistyh-kompozitov;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] Распределение энергии при сварке взрывом;АН Кривенцов, ВИ Кузьмин ;2005; Сварочное производство, ;none;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] Распределение температуры в околошовной зоне при сварке разнородных металлов взрывом;АП Пеев, СВ Кузьмин, ВИ Лысак ;2004; Автоматическая сварка, ;none;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] О пластической деформации в зоне соединения при сварке взрывом;МП Бондарь, ВМ Оголихин ;1985; Физика горения и взрыва, ;none;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] Структура и свойства композита из сталей 12Х18Н10Т и 20, полученного сваркой взрывом;СВ Гладковский, ТА Трунина, ЕА Коковихин… ;2009; Металловедение и …,   elibrary.ru;none;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] Обработка взрывом сварных соединений металлоконструкций;ВГ Петушков, ВМ Кудинов, ЮИ Фадеенко ;1993;   Металлургия М.;none;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] Кинетика соударения металлических пластин в многослойном пакете при сварке взрывом;СВ Кузьмин, ВИ Лысак, ДВ Стариков ;1994; Прикладная механика и техническая …, ;none;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[DOC][DOC] Материаловедение и технология конструкционных материалов;Ю Лебедев ;2005;   files.nsawt.ru;http://files.nsawt.ru/plany/rup/180100.62.SEU/data/%D0%912.%D0%92.%D0%9E%D0%94.1%20%D0%9C%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%B0%D0%BB%D0%BE%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5.%D0%A2%D0%B5%D1%85%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F%20%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D1%8B%D1%85%20%D0%BC%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%B0%D0%BB%D0%BE%D0%B2.doc;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] Закономерности распределения газообразующих примесей в зоне соединения металлов при сварке взрывом;ВИ Лысак, ВВ Цуменко, ЛО Женни;1985;Майская…  Сварка взрывом и …, ;none;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] Теоретические основы сварки взрывом в среде защитных газов;АА Бердыченко ;2002; Сварка взрывом и свойства сварных соединений: …, ;none;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;Bimetallic junctions of orthorhombic titanium aluminide with a titanium alloy;VV Rybin, VA Semenov, AN Semenov, II Sidorov… ;2005;   inis.iaea.org;https://inis.iaea.org/search/search.aspx?orig_q=RN:38011468;english;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] Соединение металлов в твердой фазе;ЭС Каракозов ;1976;   " Металлургия";none;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] Классификация технологических схем сварки металлов взрывом;ВИ Лысак, СВ Кузьмин ;2002; Сварочное производство, ;none;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] Сварка взрывом стали с алюминием;БС Злобин ;2002; Физика горения и взрыва, ;none;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] К вопросу об измерении температуры в зоне соединения при сварке металлов взрывом;АН Михайлов, АН Дремин… ;1976; … горения и взрыва,   Наука, Сибирское отдние;none;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] Сварка взрывом и свойства сварных соединений;НН Казак ;1971; НН Казак, ВС СедыхМ.: Машиностроение, ;none;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] Критические режимы при сварке взрывом;ИД Захаренко ;1972; Физика горения и взрыва, ;none;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Get documents ./docs2/input60.html;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] Тепловые эффекты в зоне соединения при сварке взрывом;ИД Захаренко, ТМ Соболенко ;1971; Физика горения и взрыва, ;none;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] Модель волнообразования при сварке взрывом;ВМ Корнев, ИВ Яковлев ;1984; Физика горения и взрыва, ;none;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] Зависимость параметров волн при сварке взрывом от фазы разгона метаемой пластины;ГЕ Кузьмин, ВА Симонов, ИВ Яковлев ;1976; Физика горения и взрыва, ;none;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] О моделировании процесса волнообразования при сварке взрывом;АА Дерибас, ВМ Кудинов, ФИ Матвеенков… ;1968; Физика горения и взрыва, ;none;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] Сварка взрывом и свойства сталь‐алюминиевого биметалла для подшипников скольже‐ния/Дерибас АА, Буше НА, Злобин БС и др;АА Дерибас ;none; Сб. трудов;none;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] Сварка взрывом/Ю;ЮА Конон ;none; А Конон, ЛБ Певухин, АД Чудновский;none;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] Экспериментальное исследование напряженного состояния металлов в процессе сварки взрывом;ВВ Пай, ВА Симонов, ВЛ Фрумин ;1977; Динамика сплошной среды. Новосибирск, ;none;русский;Google Scholar;none;none;

2015/07/21 16:00:03 : Found record - 2015/07/21 16:00:03;[ЦИТИРОВАНИЕ][C] Электрический взрыв как причина разбрызгивания металла;ИИ Заруба ;1970; Автоматическая сварка, ;none;русский;Google Scholar;none;none;

2015/07/21 16:00:04 : Found record - 2015/07/21 16:00:03;[PDF][PDF] Модификация подхода к выбору структуры материала проводов при помощи информационной системы;НН Жданова, ИС Жданов ;2012; … государственного университета. Серия …,   new.volsu.ru;http://new.volsu.ru/struct/generalservices/publish/vestniki/lastmagazine/ser-10-innovative-activity-vyp-7-2012/9_%D0%96%D0%B4%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0,%20%D0%96%D0%B4%D0%B0%D0%BD%D0%BE%D0%B2.pdf;русский;Google Scholar;68.pdf;68.txt;

2015/07/21 16:00:04 : Found record - 2015/07/21 16:00:04;[ЦИТИРОВАНИЕ][C] Применение эмульсионных ВВ для сварки взрывом;ВВ Сильвестров, АВ Пластинин, СИ Рафейчик ;2009; Автоматическая сварка, ;none;русский;Google Scholar;none;none;

2015/07/21 16:00:04 : Found record - 2015/07/21 16:00:04;[КНИГА][B] Теория сварочных процессов;ГЛ Петров ;1977;   books.google.com;http://www.google.com/books?hl=ru&lr=&id=KVUAAwAAQBAJ&oi=fnd&pg=PA5&dq=%D1%81%D0%B2%D0%B0%D1%80%D0%BA%D0%B0+%D0%B2%D0%B7%D1%80%D1%8B%D0%B2%D0%BE%D0%BC&ots=Rntt3zQTO9&sig=heczypioP8uGP3-V8ZPge5w8e9I;русский;Google Scholar;none;none;

2015/07/21 16:00:04 : Found record - 2015/07/21 16:00:04;[ЦИТИРОВАНИЕ][C] Области сварки взрывом;ВА Симонов ;1995;   ИГД Новосибирск;none;русский;Google Scholar;none;none;

2015/07/21 16:00:04 : Found record - 2015/07/21 16:00:04;[PDF][PDF] Природа пластического течения металлов в приконтактной зоне при сварке взрывом;ВВ Рыбин, ЭА Ушанова, СВ Кузьмин, ВИ Лысак ;2011; Письма в ЖТФ,   welding.vstu.ru;http://welding.vstu.ru/datas/users/1-p26-33.pdf;русский;Google Scholar;72.pdf;72.txt;

2015/07/21 16:00:04 : Found record - 2015/07/21 16:00:04;[ЦИТИРОВАНИЕ][C] Модель разгона металлических пластин при сварке взрывом многослойных пакетов;ВП Багмутов, СВ Кузьмин, ВИ Лысак ;2005; Физика и химия обработки …,   elibrary.ru;none;русский;Google Scholar;none;none;

2015/07/21 16:00:04 : Found record - 2015/07/21 16:00:04;[ЦИТИРОВАНИЕ][C] Деформация металлов взрывом;АВ Крупин, ВЯ Соловьев, НИ Шефтель, АГ Кобелев ;1975;   ir.nmu.org.ua;none;русский;Google Scholar;none;none;

2015/07/21 16:00:04 : Found record - 2015/07/21 16:00:04;МАТЕМАТИЧЕСКАЯ МОДЕЛЬ ПОСЛОЙНОГО РАЗГОНА ПЛАСТИН В МНОГОСЛОЙНОМ ПАКЕТЕ, УСКОРЯЕМЫХ ПРОДУКТАМИ ДЕТОНАЦИИ ВВ;ВД Рогозин, СВ КУЗЬМИН… ;2010; ИЗВЕСТИЯ …,   cyberleninka.ru;http://cyberleninka.ru/article/n/matematicheskaya-model-posloynogo-razgona-plastin-v-mnogosloynom-pakete-uskoryaemyh-produktami-detonatsii-vv;русский;Google Scholar;none;none;

2015/07/21 16:00:04 : Found record - 2015/07/21 16:00:04;[ЦИТИРОВАНИЕ][C] Вязкость металлов при сварке взрывом;ИД Захаренко, ВИ Мали ;1972; Горение и взрыв. М., Наука, ;none;русский;Google Scholar;none;none;

2015/07/21 16:00:04 : Found record - 2015/07/21 16:00:04;[ЦИТИРОВАНИЕ][C] Влияние параметров сварки взрывом на строение и коррозионную стойкость переходных зон сталеалюминиевых композиций;ГГ Горанский, ЛБ Демьянович ;1985; Сб. науч. ст.«Применение энергии взрыва в …, ;none;русский;Google Scholar;none;none;

